# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   66       2.378218490386e-10       3.726267681601e-14      -5.425556928722e-13       0.000000000000e+00       2.804500100947e-11       3.319540826692e-12      -1.083562467134e-14 
   67       2.409828471852e-10       3.891065592087e-14      -5.963302000214e-13       0.000000000000e+00       2.707750505835e-11       3.222472652490e-12      -1.064490052997e-14 
   68       2.441719794789e-10       4.059058060947e-14      -6.517917864173e-13       0.000000000000e+00       2.614936011774e-11       3.129038829004e-12      -1.045007664864e-14 
   69       2.473904196262e-10       4.230163249693e-14      -7.089209018488e-13       0.000000000000e+00       2.525988240528e-11       3.039168459555e-12      -1.025612100363e-14 
   70       2.506395650367e-10       4.404307810499e-14      -7.676979528432e-13       0.000000000000e+00       2.440927367015e-11       2.952909207201e-12      -1.006390774453e-14 
   71       2.539203724100e-10       4.581414696481e-14      -8.281016368988e-13       0.000000000000e+00       2.359705156869e-11       2.870242739705e-12      -9.874289458537e-15 
   72       2.572333283015e-10       4.761403175348e-14      -8.901089531316e-13       0.000000000000e+00       2.282201429822e-11       2.791081241956e-12      -9.688094106348e-15 
   73       2.605784196887e-10       4.944188843045e-14      -9.536952129213e-13       0.000000000000e+00       2.208220523080e-11       2.715263928398e-12      -9.506121958009e-15 
   74       2.639551045376e-10       5.129683637405e-14      -1.018834050558e-12       0.000000000000e+00       2.137487754709e-11       2.642553555447e-12      -9.329142528793e-15 
   75       2.673622823682e-10       5.317795851793e-14      -1.085497433888e-12       0.000000000000e+00       2.069645887011e-11       2.572632933920e-12      -9.157891515068e-15 
   76       2.707988624793e-10       5.508423810835e-14      -1.153654752576e-12       0.000000000000e+00       2.004343792394e-11       2.505186269825e-12      -8.993141229781e-15 
   77       2.742656533100e-10       5.701435536012e-14      -1.223269867402e-12       0.000000000000e+00       1.941528935255e-11       2.440168020495e-12      -8.835933510773e-15 
   78       2.777637657378e-10       5.896685379557e-14      -1.294303539735e-12       0.000000000000e+00       1.881202048052e-11       2.377576957222e-12      -8.687383914836e-15 
   79       2.812940290847e-10       6.094019918977e-14      -1.366714298042e-12       0.000000000000e+00       1.823328041115e-11       2.317373966471e-12      -8.548610454185e-15 
   80       2.848569739387e-10       6.293277840739e-14      -1.440458429629e-12       0.000000000000e+00       1.767834356712e-11       2.259480301773e-12      -8.420732039493e-15 
   81       2.884528149757e-10       6.494289823953e-14      -1.515489972367e-12       0.000000000000e+00       1.714609323118e-11       2.203775835623e-12      -8.304866922935e-15 
   82       2.920814337809e-10       6.696878424055e-14      -1.591760706425e-12       0.000000000000e+00       1.663500508682e-11       2.150097311380e-12      -8.202131141221e-15 
   83       2.957423616703e-10       6.900857956487e-14      -1.669220146006e-12       0.000000000000e+00       1.614313075894e-11       2.098236595164e-12      -8.113636958643e-15 
   84       2.994350695865e-10       7.106041631311e-14      -1.747816511463e-12       0.000000000000e+00       1.566857128275e-11       2.047992805139e-12      -8.040042521486e-15 
   85       3.031599306332e-10       7.312264570791e-14      -1.827499848944e-12       0.000000000000e+00       1.521102374872e-11       1.999342457912e-12      -7.980118451668e-15 
   86       3.069173863542e-10       7.519364412118e-14      -1.908219415165e-12       0.000000000000e+00       1.477046207342e-11       1.952294454892e-12      -7.931939665231e-15 
